FoodId,FoodDescription
440,"Cheese, goat, soft"
441,"Cheese, haloumi"
443,"Cheese, mozzarella"
444,"Cheese, parmesan, dried, finely grated"
445,"Cheese, parmesan, fresh, regular fat"
446,"Cheese, ricotta"
447,"Cheese, soy"
448,"Cherry, black, canned in syrup"
449,"Cherry, black, canned in syrup, drained"
450,"Cherry, black, canned in syrup, syrup only"
451,"Cherry, raw"
452,"Chicken, barbecued, with skin"
453,"Chicken, breast, lean flesh, baked, no added fat"
454,"Chicken, breast, lean flesh, casseroled, no added fat"
455,"Chicken, breast, lean flesh, fried, no added fat"
456,"Chicken, breast, lean flesh, grilled, no added fat"
457,"Chicken, breast, lean flesh, raw"
458,"Chicken, breast, lean flesh, skin & fat, baked, no added fat"
459,"Chicken, breast, lean flesh, skin & fat, casseroled, no added fat"
460,"Chicken, breast, lean flesh, skin & fat, raw"
461,"Chicken, drumstick, lean flesh, baked, no added fat"
462,"Chicken, drumstick, lean flesh, casseroled, no added fat"
463,"Chicken, drumstick, lean flesh, raw"
464,"Chicken, drumstick, lean flesh, skin & fat, baked, no added fat"
465,"Chicken, drumstick, lean flesh, skin & fat, casseroled, no added fat"
466,"Chicken, drumstick, lean flesh, skin & fat, raw"
467,"Chicken, liver, fried, added butter"
468,"Chicken, liver, raw"
469,"Chicken, mince, fried, no added fat"
470,"Chicken, mince, raw"
471,"Chicken, nugget, purchased from fast food chain, grilled"
472,"Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil"
473,"Chicken, nugget, purchased frozen, baked, no added fat"
474,"Chicken, processed luncheon meat, low or reduced fat"
475,"Chicken, schnitzel, baked without fat"
476,"Chicken, separable fat, composite, cooked, no added fat"
477,"Chicken, separable fat, composite, raw"
478,"Chicken, skin, composite, baked, no added fat"
479,"Chicken, skin, composite, casseroled, no added fat"
480,"Chicken, skin, composite, raw"
481,"Chicken, thigh, lean flesh, baked, no added fat"
482,"Chicken, thigh, lean flesh, casseroled, no added fat"
483,"Chicken, thigh, lean flesh, fried, no added fat"
484,"Chicken, thigh, lean flesh, raw"
485,"Chicken, thigh, lean flesh, skin & fat, baked, no added fat"
486,"Chicken, thigh, lean flesh, skin & fat, casseroled, no added fat"
487,"Chicken, thigh, lean flesh, skin & fat, raw"
488,"Chicken, wing, lean flesh, baked, no added fat"
489,"Chicken, wing, lean flesh, casseroled, no added fat"
490,"Chicken, wing, lean flesh, raw"
491,"Chicken, wing, lean flesh, skin & fat, baked, no added fat"
492,"Chicken, wing, lean flesh, skin & fat, casseroled, no added fat"
493,"Chicken, wing, lean flesh, skin & fat, raw"
494,"Chickpea, canned, drained"
495,"Chickpea, dried"
